signal,domain,alpha,buf_size,overload,trial,snr_db,snr_saturated,spec_corr,n_dropped
ecg_100,ecg,0.00,128,3,0,42.8818,0,-1.000000,955
ecg_100,ecg,0.00,128,3,1,42.8864,0,-1.000000,961
ecg_100,ecg,0.00,128,3,2,42.7103,0,-1.000000,966
ecg_100,ecg,0.00,128,5,0,36.8148,0,-1.000000,1280
ecg_100,ecg,0.00,128,5,1,36.8170,0,-1.000000,1284
ecg_100,ecg,0.00,128,5,2,36.8418,0,-1.000000,1284
ecg_100,ecg,0.00,128,10,0,32.2932,0,-1.000000,1558
ecg_100,ecg,0.00,128,10,1,32.4603,0,-1.000000,1559
ecg_100,ecg,0.00,128,10,2,32.0450,0,-1.000000,1557
ecg_100,ecg,0.00,256,3,0,44.3033,0,-1.000000,835
ecg_100,ecg,0.00,256,3,1,44.5066,0,-1.000000,829
ecg_100,ecg,0.00,256,3,2,44.4677,0,-1.000000,830
ecg_100,ecg,0.00,256,5,0,38.8114,0,-1.000000,1151
ecg_100,ecg,0.00,256,5,1,38.6228,0,-1.000000,1152
ecg_100,ecg,0.00,256,5,2,38.6447,0,-1.000000,1153
ecg_100,ecg,0.00,256,10,0,33.7112,0,-1.000000,1429
ecg_100,ecg,0.00,256,10,1,33.6374,0,-1.000000,1429
ecg_100,ecg,0.00,256,10,2,33.9056,0,-1.000000,1429
ecg_100,ecg,0.25,128,3,0,42.5176,0,-1.000000,968
ecg_100,ecg,0.25,128,3,1,42.5594,0,-1.000000,965
ecg_100,ecg,0.25,128,3,2,42.6381,0,-1.000000,957
ecg_100,ecg,0.25,128,5,0,36.6379,0,-1.000000,1285
ecg_100,ecg,0.25,128,5,1,36.7676,0,-1.000000,1285
ecg_100,ecg,0.25,128,5,2,36.6510,0,-1.000000,1286
ecg_100,ecg,0.25,128,10,0,32.2092,0,-1.000000,1559
ecg_100,ecg,0.25,128,10,1,32.0264,0,-1.000000,1559
ecg_100,ecg,0.25,128,10,2,32.3663,0,-1.000000,1556
ecg_100,ecg,0.25,256,3,0,44.1283,0,-1.000000,829
ecg_100,ecg,0.25,256,3,1,44.0500,0,-1.000000,841
ecg_100,ecg,0.25,256,3,2,44.1250,0,-1.000000,839
ecg_100,ecg,0.25,256,5,0,38.5390,0,-1.000000,1152
ecg_100,ecg,0.25,256,5,1,38.5498,0,-1.000000,1153
ecg_100,ecg,0.25,256,5,2,38.6046,0,-1.000000,1154
ecg_100,ecg,0.25,256,10,0,33.7902,0,-1.000000,1430
ecg_100,ecg,0.25,256,10,1,33.8751,0,-1.000000,1429
ecg_100,ecg,0.25,256,10,2,33.6172,0,-1.000000,1428
ecg_100,ecg,0.50,128,3,0,42.3571,0,-1.000000,969
ecg_100,ecg,0.50,128,3,1,42.4793,0,-1.000000,969
ecg_100,ecg,0.50,128,3,2,42.4075,0,-1.000000,972
ecg_100,ecg,0.50,128,5,0,36.3048,0,-1.000000,1286
ecg_100,ecg,0.50,128,5,1,36.5971,0,-1.000000,1285
ecg_100,ecg,0.50,128,5,2,36.5111,0,-1.000000,1283
ecg_100,ecg,0.50,128,10,0,32.1195,0,-1.000000,1559
ecg_100,ecg,0.50,128,10,1,32.1575,0,-1.000000,1557
ecg_100,ecg,0.50,128,10,2,32.4357,0,-1.000000,1557
ecg_100,ecg,0.50,256,3,0,44.2605,0,-1.000000,827
ecg_100,ecg,0.50,256,3,1,44.2588,0,-1.000000,830
ecg_100,ecg,0.50,256,3,2,44.2411,0,-1.000000,829
ecg_100,ecg,0.50,256,5,0,38.5743,0,-1.000000,1148
ecg_100,ecg,0.50,256,5,1,38.4979,0,-1.000000,1156
ecg_100,ecg,0.50,256,5,2,38.5376,0,-1.000000,1155
ecg_100,ecg,0.50,256,10,0,33.8177,0,-1.000000,1430
ecg_100,ecg,0.50,256,10,1,33.7114,0,-1.000000,1426
ecg_100,ecg,0.50,256,10,2,33.6155,0,-1.000000,1431
ecg_100,ecg,0.75,128,3,0,42.5554,0,-1.000000,969
ecg_100,ecg,0.75,128,3,1,42.4531,0,-1.000000,968
ecg_100,ecg,0.75,128,3,2,42.6276,0,-1.000000,962
ecg_100,ecg,0.75,128,5,0,36.5469,0,-1.000000,1286
ecg_100,ecg,0.75,128,5,1,36.4498,0,-1.000000,1284
ecg_100,ecg,0.75,128,5,2,36.4730,0,-1.000000,1284
ecg_100,ecg,0.75,128,10,0,32.0330,0,-1.000000,1560
ecg_100,ecg,0.75,128,10,1,32.2373,0,-1.000000,1556
ecg_100,ecg,0.75,128,10,2,32.0217,0,-1.000000,1557
ecg_100,ecg,0.75,256,3,0,44.2053,0,-1.000000,832
ecg_100,ecg,0.75,256,3,1,44.1282,0,-1.000000,829
ecg_100,ecg,0.75,256,3,2,44.2079,0,-1.000000,834
ecg_100,ecg,0.75,256,5,0,38.3232,0,-1.000000,1152
ecg_100,ecg,0.75,256,5,1,38.3886,0,-1.000000,1151
ecg_100,ecg,0.75,256,5,2,38.4405,0,-1.000000,1149
ecg_100,ecg,0.75,256,10,0,33.6793,0,-1.000000,1429
ecg_100,ecg,0.75,256,10,1,33.4529,0,-1.000000,1427
ecg_100,ecg,0.75,256,10,2,33.4396,0,-1.000000,1429
ecg_100,ecg,1.00,128,3,0,42.6380,0,-1.000000,955
ecg_100,ecg,1.00,128,3,1,42.5559,0,-1.000000,959
ecg_100,ecg,1.00,128,3,2,42.4559,0,-1.000000,967
ecg_100,ecg,1.00,128,5,0,36.5629,0,-1.000000,1285
ecg_100,ecg,1.00,128,5,1,36.5127,0,-1.000000,1285
